subject,chapter,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation
Chemistry,Atomic Structure,simple,What is the charge of a proton?,1,-1,0,2,A,Protons carry a positive charge of +1.
Chemistry,Atomic Structure,simple,Which subatomic particle is found in the nucleus?,Electron,Proton,Neutron,Both B and C,D,The nucleus contains protons and neutrons.
Chemistry,Atomic Structure,simple,What is the atomic number of carbon?,6,12,14,8,A,Carbon has 6 protons so its atomic number is 6.
Chemistry,Atomic Structure,simple,How many electrons are in a neutral oxygen atom?,6,8,16,4,B,Oxygen has atomic number 8 so it has 8 electrons.
Chemistry,Atomic Structure,simple,Isotopes differ in the number of:,Protons,Electrons,Neutrons,Both A and B,C,Isotopes have the same number of protons but different neutrons.
Chemistry,Atomic Structure,simple,Which element has the symbol Na?,Nitrogen,Sodium,Neon,Nickel,B,Na is the chemical symbol for sodium.
Chemistry,Atomic Structure,simple,What does the mass number represent?,Protons only,Protons + Electrons,Protons + Neutrons,Neutrons only,C,Mass number = protons + neutrons.
Chemistry,Atomic Structure,simple,Which scientist proposed the planetary model?,J.J. Thomson,Ernest Rutherford,Niels Bohr,John Dalton,C,Niels Bohr proposed the Bohr model with fixed orbits.
Chemistry,Atomic Structure,simple,What is the charge of an electron?,1,-1,0,2,B,Electrons carry a negative charge.
Chemistry,Atomic Structure,simple,Which particle has the smallest mass?,Proton,Neutron,Electron,Nucleus,C,Electrons have much smaller mass than protons.
Chemistry,Atomic Structure,medium,How many neutrons are in carbon-14?,6,8,14,20,B,14 - 6 protons = 8 neutrons.
Chemistry,Atomic Structure,medium,Which quantum number defines orbital shape?,n,l,ml,ms,B,The azimuthal quantum number (l) defines shape.
Chemistry,Atomic Structure,medium,Which configuration is correct for Nitrogen (Z=7)?,1s2 2s2 2p3,1s2 2s2 2p6,1s2 2s2 2p5,1s2 2s2 2p6 3s1,A,Nitrogen has 7 electrons.
Chemistry,Atomic Structure,medium,Highest first ionization energy among these?,Na,Mg,Al,Cl,D,IE increases across a period.
Chemistry,Atomic Structure,medium,Max electrons in n=3 shell?,8,18,32,2,B,Formula 2n^2 gives 18.
Chemistry,Atomic Structure,medium,Which is an isoelectronic series?,"Na+, Mg2+, Al3+","O2-, F-, Ne","Li, Be, B","C, N, O",B,"O2-, F-, and Ne all have 10 electrons."
Chemistry,Atomic Structure,medium,Which series is in the visible region?,Lyman,Balmer,Paschen,Brackett,B,Balmer series is visible light.
Chemistry,Atomic Structure,medium,Electron configuration of Fe2+,[Ar] 4s2 3d6,[Ar] 3d6,[Ar] 4s2 3d4,[Ar] 3d5,B,Fe2+ loses 4s electrons first.
Chemistry,Atomic Structure,medium,No two electrons have same 4 quantum numbers?,Aufbau,Pauli,Hund,Heisenberg,B,This is the Pauli Exclusion Principle.
Chemistry,Atomic Structure,hard,Wavelength of electron at 1/100th speed of light,2.42e-10 m,2.42e-12 m,2.42e-8 m,2.42e-15 m,A,Calculated using De Broglie equation.
Chemistry,Atomic Structure,hard,Transition from n=4 to n=2 belongs to?,Lyman,Balmer,Paschen,Brackett,B,Any transition to n=2 is Balmer.
