subject,chapter,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation
"Logic","Chapter 4","simple","Critical thinking can best be defined as?","Reflective and reasoned thinking","Memorizing facts","Following authority blindly","Emotional reasoning","A","Critical thinking is reflective, reasoned, and skillful thinking to decide what to believe or do."
"Logic","Chapter 4","medium","Which of the following is a barrier to critical thinking?","Open-mindedness","Confirmation bias","Seeking evidence","Analyzing arguments","B","Confirmation bias causes people to favor information confirming preexisting beliefs."
"Logic","Chapter 4","hard","Case: A student evaluates multiple arguments on climate change, weighing evidence before concluding. This demonstrates which trait?","Uncritical thinking","Critical thinking","Dogmatism","Conformity","B","Evaluating multiple sides of an argument shows critical thinking."
"Logic","Chapter 4","simple","One basic trait of critical thinkers is?","Open-mindedness","Prejudice","Dogmatism","Bias","A","Critical thinkers are open-minded and willing to examine multiple perspectives."
"Logic","Chapter 4","medium","Critical thinking improves decision-making by?","Ignoring alternatives","Evaluating options rationally","Accepting authority","Following tradition","B","It allows rational evaluation of evidence and alternatives before making a decision."
"Logic","Chapter 4","hard","Trick: Believing only in personal experience without examining evidence is?","Critical thinking","Uncritical thinking","Skepticism","Reasoning","B","Uncritical thinking ignores evidence beyond personal experience."
"Logic","Chapter 4","simple","Critical thinking involves evaluating?","Opinions only","Arguments and evidence","Feelings","Stories","B","Critical thinking involves careful evaluation of arguments and supporting evidence."
"Logic","Chapter 4","medium","Which is a principle of effective critical thinking?","Accepting claims at face value","Evaluating assumptions","Ignoring evidence","Following tradition","B","Effective critical thinking requires evaluating assumptions behind claims."
"Logic","Chapter 4","hard","Case: A researcher questions the reliability of survey data before citing them. This demonstrates?","Skepticism","Dogmatism","Naivety","Bias","A","Skepticism is a critical thinking trait involving careful scrutiny of evidence."
"Logic","Chapter 4","simple","One standard of critical thinking is?","Fairness","Haste","Emotion","Authority","A","Critical thinking standards include fairness, clarity, accuracy, and relevance."
"Logic","Chapter 4","medium","People who ignore alternative viewpoints show?","Open-mindedness","Closed-mindedness","Curiosity","Skepticism","B","Ignoring alternative viewpoints indicates closed-mindedness."
"Logic","Chapter 4","hard","Case: A student evaluates an argument and identifies weak premises that mislead the conclusion. This is an example of?","Critical thinking","Uncritical thinking","Conformity","Bias","A","Identifying flaws in reasoning is a hallmark of critical thinking."
"Logic","Chapter 4","simple","Critical thinking requires?","Memorization","Reasoning and reflection","Following rules blindly","Believing authority","B","Critical thinking relies on reasoning and reflection."
"Logic","Chapter 4","medium","Which of the following is a characteristic of uncritical thinkers?","Questioning assumptions","Accepting arguments without evidence","Evaluating multiple perspectives","Analyzing strengths and weaknesses","B","Uncritical thinkers accept arguments without evaluating evidence."
"Logic","Chapter 4","hard","Trick: An argument that appeals only to emotions without evidence is?","Strong","Weak","Valid","Cogent","B","Arguments relying solely on emotion are logically weak."
"Logic","Chapter 5","simple","A fallacy is?","A valid argument","A defective argument","A premise","A conclusion","B","A fallacy is an error in reasoning that makes an argument invalid or weak."
"Logic","Chapter 5","medium","Which fallacy assumes that because X preceded Y, X caused Y?","Post hoc","Ad hominem","Straw man","Slippery slope","A","Post hoc mistakes correlation for causation."
"Logic","Chapter 5","hard","Case: 'You shouldn't listen to Ali's argument; he failed a class.' This is an example of?","Ad hominem","Hasty generalization","Appeal to authority","False dichotomy","A","Attacking the person instead of the argument is ad hominem."
"Logic","Chapter 5","simple","Fallacies of weak induction occur when premises provide?","Strong support","Insufficient support","Irrelevant support","Accurate prediction","B","Weak induction means the premises provide insufficient support for the conclusion."
"Logic","Chapter 5","medium","A false dichotomy fallacy presents?","Two extremes as the only options","A valid argument","A weak premise","A true conclusion","A","False dichotomy limits options incorrectly to two."
"Logic","Chapter 5","hard","Case: 'If we don't adopt this plan, everything will fail.' This is an example of?","Circular reasoning","Slippery slope","Post hoc","Hasty generalization","B","Slippery slope assumes extreme consequences without evidence."
"Logic","Chapter 5","simple","Ad hominem fallacy attacks?","The argument","The person making it","The evidence","The conclusion","B","Ad hominem attacks the person, not the argument."
"Logic","Chapter 5","medium","Straw man fallacy occurs when?","Misrepresenting an argument to attack it","Ignoring an argument","Accepting a weak argument","Repeating premises","A","Straw man misrepresents the opponent's argument to refute it easily."
"Logic","Chapter 5","hard","Trick: 'Either you support me or you hate the country.' This is?","False dichotomy","Hasty generalization","Red herring","Slippery slope","A","False dichotomy presents only two options when more exist."
"Logic","Chapter 6","simple","A categorical proposition makes a statement about?","An individual object","A category or class of objects","A personal opinion","A hypothetical situation","B","Categorical propositions assert something about classes or categories."
"Logic","Chapter 6","medium","The proposition 'All dogs are mammals' is of what quantity?","Universal","Particular","Singular","Existential","A","Applies to all members of the subject class; universal."
"Logic","Chapter 6","hard","Case: Using a Venn diagram, represent 'No cats are dogs.'","Shade overlap","Cats inside dogs","Dogs inside cats","Both empty","A","No cats are dogs is represented by shading the intersection."
"Logic","Chapter 6","hard","Trick: If 'All A are B' and 'Some B are not C', what inference is valid?","Some A are C","No valid inference","All B are C","Some A are not B","B","No immediate inference can be drawn from these statements alone."
"Logic","Chapter 6","medium","Which operation in categorical propositions reverses subject and predicate?","Conversion","Obversion","Contraposition","Negation","A","Conversion swaps subject and predicate of a proposition."
"Logic","Chapter 6","simple","Define 'contraposition' in logic.","Reversing and negating both terms","Switching subject and predicate","Only negating predicate","Only negating subject","A","Contraposition reverses and negates both subject and predicate."
"Logic","Chapter 6","hard","Case: 'Some students are not athletes' – what is the quality and quantity?","Negative, particular","Positive, universal","Negative, universal","Positive, particular","A","The statement is negative (are not) and particular (some)."
"Logic","Chapter 4","hard","Trick: If a person is highly intelligent but never questions claims, they are?","Critical thinker","Uncritical thinker","Rational","Reasonable","B","High intelligence does not guarantee critical thinking; failing to question claims is uncritical."
"Logic","Chapter 4","medium","Which principle supports logical evaluation of evidence?","Ignoring opposing views","Skepticism","Accepting authority","Avoiding reasoning","B","Skepticism ensures evidence is critically examined."
"Logic","Chapter 4","simple","Critical thinkers avoid?","Assumption evaluation","Premature conclusions","Evidence analysis","Questioning","B","Premature conclusions indicate uncritical thinking."
"Logic","Chapter 5","hard","Case: 'He is inexperienced, so his argument is wrong.' Identify the fallacy.","Ad hominem","Straw man","False cause","Red herring","A","Attacking the individual rather than the argument is ad hominem."
"Logic","Chapter 5","medium","Weak induction occurs when?","Premises are irrelevant","Premises offer insufficient support","Premises are contradictory","Premises are valid","B","Inductive arguments fail when evidence is too weak to support conclusions."
"Logic","Chapter 5","simple","Informal fallacies affect?","Argument structure","Truth of premises","Relevance and sufficiency of premises","Conclusion validity","C","Informal fallacies undermine reasoning without formal invalidity."
"Logic","Chapter 6","medium","Traditional square of opposition illustrates?","Relations among categorical propositions","Logical fallacies","Argument strength","Inductive reasoning","A","It shows contradictions, contraries, subcontraries, and subalterns between propositions."
"Logic","Chapter 6","hard","Case: 'No A are B' and 'Some C are A' – what inference is valid?","Some C are B","Some C are not B","All C are B","No valid inference","D","No immediate inference can be drawn from these premises alone."
"Logic","Chapter 6","simple","Cogency of an inductive argument depends on?","Truth of premises and strength","Logical validity","Form of syllogism","Negation","A","Inductive arguments are cogent if strong and premises are probably true."
"Logic","Chapter 6","medium","Soundness of a deductive argument requires?","Strong inference only","True premises and valid form","Valid form only","True conclusion only","B","Deductive arguments are sound if valid and all premises are true."
"Logic","Chapter 6","hard","Trick: If 'All A are B', 'All B are C', and 'No C are D', which syllogistic inference is valid?","Some A are D","All A are D","No valid inference","Some B are not D","C","No immediate inference can be drawn about A and D without additional premises."
"Logic","Chapter 4","simple","Reflective self-awareness in critical thinking refers to?","Understanding one’s own thought process","Memorizing facts","Following tradition","Accepting authority","A","Reflective self-awareness means evaluating your own reasoning and beliefs."
"Logic","Chapter 4","medium","A key principle of critical thinking is?","Evaluating assumptions","Ignoring contrary evidence","Accepting all arguments","Avoiding reasoning","A","Critical thinking requires analyzing assumptions behind claims."
"Logic","Chapter 4","hard","Case: A student identifies hidden assumptions in an argument about climate policy. This demonstrates?","Uncritical thinking","Critical thinking","Dogmatism","Bias","B","Spotting assumptions is a key skill in critical thinking."
"Logic","Chapter 4","simple","One trait of critical thinkers is?","Open-mindedness","Hasty generalization","Closed-mindedness","Conformity","A","Critical thinkers are open to different viewpoints and evidence."
"Logic","Chapter 4","medium","Critical thinking improves decision-making by?","Ignoring alternatives","Evaluating options rationally","Accepting authority","Following tradition","B","It allows rational evaluation of evidence and alternatives before making a decision."
"Logic","Chapter 4","hard","Trick: Believing only in personal experience without examining evidence is?","Critical thinking","Uncritical thinking","Skepticism","Reasoning","B","Uncritical thinking ignores evidence beyond personal experience."
"Logic","Chapter 4","simple","Critical thinking helps to distinguish between?","Opinions and facts","Memorization and learning","Authority and obedience","Emotion and logic","A","It helps to separate opinions from verifiable facts through reasoned evaluation."
"Logic","Chapter 4","medium","Which habit is essential for effective critical thinking?","Accepting all statements","Questioning assumptions","Avoiding evidence","Ignoring contradictions","B","Questioning assumptions ensures conclusions are based on sound reasoning."
"Logic","Chapter 4","hard","Case: A student evaluates arguments from multiple perspectives before deciding. This reflects?","Dogmatism","Critical thinking","Bias","Hasty conclusion","B","Evaluating multiple perspectives is central to critical thinking."
"Logic","Chapter 4","simple","Critical thinkers avoid?","Assumption evaluation","Premature conclusions","Evidence analysis","Questioning","B","Premature conclusions indicate uncritical thinking."
"Logic","Chapter 5","simple","A defective or misleading argument is called?","Premise","Conclusion","Fallacy","Fact","C","A fallacy is a reasoning error that undermines the argument."
"Logic","Chapter 5","medium","Which fallacy attacks the person instead of the argument?","Post hoc","Ad hominem","Straw man","False cause","B","Ad hominem targets the individual rather than the argument."
"Logic","Chapter 5","hard","Case: 'The senator is wrong because he is inexperienced.' This is an example of?","Red herring","Ad hominem","Slippery slope","Appeal to authority","B","Attacking a person’s character is ad hominem."
"Logic","Chapter 5","simple","Post hoc fallacy involves?","Assuming causation from sequence","Attacking the person","Misrepresenting arguments","Creating false alternatives","A","Post hoc mistakes sequential occurrence for causation."
"Logic","Chapter 5","medium","False dichotomy occurs when?","Only two options are presented when more exist","Premises assume conclusion","Evidence is irrelevant","Conclusion is ignored","A","False dichotomy limits options incorrectly to two."
"Logic","Chapter 5","hard","Case: 'If we don’t follow this plan, everything will collapse.' This fallacy is?","Circular reasoning","Slippery slope","Post hoc","Hasty generalization","B","Slippery slope assumes extreme consequences without evidence."
"Logic","Chapter 5","simple","Ad hominem fallacy attacks?","The argument","The person making it","The evidence","The conclusion","B","Ad hominem attacks the person, not the argument."
"Logic","Chapter 5","medium","Straw man fallacy occurs when?","Misrepresenting an argument to attack it","Ignoring an argument","Accepting a weak argument","Repeating premises","A","Straw man misrepresents the opponent's argument to refute it easily."
"Logic","Chapter 5","hard","Trick: 'Either you support me or you hate the country.' This is?","False dichotomy","Hasty generalization","Red herring","Slippery slope","A","False dichotomy presents only two options when more exist."
"Logic","Chapter 5","medium","Appeal to authority fallacy occurs when?","Authority is irrelevant to argument","Argument is logically valid","Evidence is clear","Conclusion is false","A","Appeal to authority is fallacious when the authority is not relevant or reliable."
