subject,chapter,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation
Psychology,Chapter 1,simple,"""What does psychology scientifically study?""","""Human behavior only""","""Mental processes only""","""Both behavior and mental processes""","""Human biology""",C,"""Psychology is defined as the scientific study of behavior and mental processes."""
Psychology,Chapter 1,simple,"""The word psychology is derived from which languages?""","""Latin and English""","""Greek and Latin""","""Greek only""","""French and Greek""",C,"""The term psychology comes from Greek words 'psyche' and 'logos'."""
Psychology,Chapter 1,simple,"""Which Greek word means mind or soul?""","""Logos""","""Psyche""","""Ethos""","""Pathos""",B,"""'Psyche' refers to mind or soul."""
Psychology,Chapter 1,simple,"""Which Greek word means study or knowledge?""","""Psyche""","""Ethos""","""Logos""","""Pathos""",C,"""'Logos' means study or knowledge."""
Psychology,Chapter 1,simple,"""Who is considered the father of modern psychology?""","""Sigmund Freud""","""William James""","""Wilhelm Wundt""","""John Watson""",C,"""Wundt founded the first psychology laboratory in 1879."""
Psychology,Chapter 1,simple,"""In which year did psychology become an independent science?""","""1700""","""1800""","""1879""","""1905""",C,"""The first psychology laboratory was established in 1879."""
Psychology,Chapter 1,simple,"""Where was the first psychology laboratory established?""","""France""","""USA""","""Germany""","""England""",C,"""Wilhelm Wundt established it in Leipzig, Germany."""
Psychology,Chapter 1,simple,"""Which goal of psychology involves observing behavior?""","""Prediction""","""Control""","""Description""","""Explanation""",C,"""Description focuses on observing and recording behavior."""
Psychology,Chapter 1,simple,"""Which goal of psychology answers the question 'Why does behavior occur'?""","""Description""","""Explanation""","""Prediction""","""Control""",B,"""Explanation looks for causes of behavior."""
Psychology,Chapter 1,simple,"""Which goal of psychology focuses on future behavior?""","""Control""","""Explanation""","""Prediction""","""Description""",C,"""Prediction involves forecasting future behavior."""
Psychology,Chapter 1,simple,"""Which goal of psychology aims to change behavior?""","""Description""","""Explanation""","""Prediction""","""Control""",D,"""Control focuses on modifying behavior."""
Psychology,Chapter 1,simple,"""Which school of thought studied the structure of the mind?""","""Functionalism""","""Structuralism""","""Behaviorism""","""Psychoanalysis""",B,"""Structuralism focused on elements of consciousness."""
Psychology,Chapter 1,simple,"""Who founded structuralism?""","""William James""","""Edward Titchener""","""John Watson""","""Sigmund Freud""",B,"""Titchener developed structuralism."""
Psychology,Chapter 1,simple,"""Which method was used by structuralists?""","""Observation""","""Experiment""","""Introspection""","""Survey""",C,"""Introspection involved examining one's own conscious experience."""
Psychology,Chapter 1,simple,"""Which school focused on the function of the mind?""","""Structuralism""","""Behaviorism""","""Functionalism""","""Psychoanalysis""",C,"""Functionalism studied how the mind helps adaptation."""
Psychology,Chapter 1,simple,"""Who is the founder of functionalism?""","""Wilhelm Wundt""","""Edward Titchener""","""William James""","""John Watson""",C,"""William James introduced functionalism."""
Psychology,Chapter 1,simple,"""Which school emphasized observable behavior?""","""Structuralism""","""Functionalism""","""Behaviorism""","""Psychoanalysis""",C,"""Behaviorism rejected mental processes."""
Psychology,Chapter 1,simple,"""Who founded behaviorism?""","""Sigmund Freud""","""Ivan Pavlov""","""John Watson""","""Edward Titchener""",C,"""Watson emphasized observable behavior."""
Psychology,Chapter 1,simple,"""Which school focuses on unconscious processes?""","""Behaviorism""","""Psychoanalysis""","""Gestalt""","""Functionalism""",B,"""Freud emphasized the unconscious mind."""
Psychology,Chapter 1,simple,"""Who founded psychoanalysis?""","""William James""","""John Watson""","""Sigmund Freud""","""Max Wertheimer""",C,"""Freud developed psychoanalysis."""
Psychology,Chapter 2,simple,"""What is sensation?""","""Interpreting stimuli""","""Organizing information""","""Detecting stimuli""","""Judging distance""",C,"""Sensation involves detecting physical stimuli."""
Psychology,Chapter 2,simple,"""What is perception?""","""Detecting stimuli""","""Interpreting stimuli""","""Receiving energy""","""Activating receptors""",B,"""Perception involves interpreting sensory information."""
Psychology,Chapter 2,simple,"""Which comes first?""","""Perception""","""Sensation""","""Both at same time""","""None""",B,"""Sensation precedes perception."""
Psychology,Chapter 2,simple,"""What is a stimulus?""","""Response""","""Energy that activates receptors""","""Behavior""","""Thought""",B,"""A stimulus is physical energy detected by receptors."""
Psychology,Chapter 2,simple,"""What is the absolute threshold?""","""Maximum stimulus""","""Minimum detectable stimulus""","""Change detection point""","""Pain limit""",B,"""It is the weakest stimulus detected 50% of the time."""
Psychology,Chapter 2,simple,"""What does JND stand for?""","""Just Noticeable Difference""","""Joint Neural Detection""","""Just Neural Difference""","""Judged Normal Difference""",A,"""JND is the smallest detectable change in stimulus."""
Psychology,Chapter 2,simple,"""Which law explains difference threshold?""","""Fechner's law""","""Pavlov's law""","""Weber's law""","""Thorndike's law""",C,"""Weber's law explains JND."""
Psychology,Chapter 2,simple,"""What is sensory adaptation?""","""Increased sensitivity""","""Decreased response to constant stimulus""","""Damage to receptors""","""Learning process""",B,"""Receptors become less responsive over time."""
Psychology,Chapter 2,simple,"""Which sense adapts fastest?""","""Vision""","""Smell""","""Hearing""","""Taste""",B,"""Smell adapts very quickly."""
Psychology,Chapter 3,simple,"""What is learning?""","""Temporary change in behavior""","""Permanent behavior change due to experience""","""Change due to growth""","""Instinctive behavior""",B,"""Learning is a relatively permanent change due to experience."""
Psychology,Chapter 3,simple,"""Which is NOT a characteristic of learning?""","""Relatively permanent""","""Experience-based""","""Reflexive only""","""Behavioral change""",C,"""Learning is not purely reflexive."""
Psychology,Chapter 3,simple,"""Which factor affects learning?""","""Motivation""","""Environment""","""Practice""","""All of the above""",D,"""Multiple factors influence learning."""
Psychology,Chapter 3,simple,"""Who proposed classical conditioning?""","""Skinner""","""Thorndike""","""Pavlov""","""Bandura""",C,"""Pavlov studied conditioned reflexes."""
Psychology,Chapter 3,simple,"""Which theory emphasizes reinforcement?""","""Cognitive""","""Behavioral""","""Gestalt""","""Psychoanalytic""",B,"""Behaviorism emphasizes reinforcement."""
Psychology,Chapter 3,simple,"""Who proposed operant conditioning?""","""Pavlov""","""Skinner""","""Bandura""","""Freud""",B,"""Skinner developed operant conditioning."""
Psychology,Chapter 3,simple,"""What is reinforcement?""","""Punishment""","""Removal of stimulus""","""Strengthening behavior""","""Weakening behavior""",C,"""Reinforcement increases behavior."""
Psychology,Chapter 3,simple,"""Which learning involves observation?""","""Trial and error""","""Conditioning""","""Insight learning""","""Social learning""",D,"""Bandura proposed observational learning."""
Psychology,Chapter 3,simple,"""Who proposed social learning theory?""","""Skinner""","""Pavlov""","""Bandura""","""Kohler""",C,"""Bandura emphasized observational learning."""
Psychology,Chapter 3,simple,"""Which theory focuses on thinking processes?""","""Behavioral""","""Psychoanalytic""","""Cognitive""","""Humanistic""",C,"""Cognitive theory emphasizes mental processes."""
Psychology,Chapter 3,simple,"""Insight learning was proposed by?""","""Pavlov""","""Thorndike""","""Kohler""","""Skinner""",C,"""Kohler demonstrated insight learning."""
Psychology,Chapter 3,simple,"""Trial and error learning is associated with?""","""Pavlov""","""Thorndike""","""Kohler""","""Bandura""",B,"""Thorndike proposed trial and error learning."""
Psychology,Chapter 3,simple,"""Which law states responses followed by satisfaction are strengthened?""","""Law of readiness""","""Law of effect""","""Law of exercise""","""Law of motivation""",B,"""Thorndike's Law of Effect explains this."""
Psychology,Chapter 3,simple,"""Which factor increases learning efficiency?""","""Fatigue""","""Lack of motivation""","""Practice""","""Distraction""",C,"""Practice improves learning."""
Psychology,Chapter 3,simple,"""Which learning theory ignores mental processes?""","""Cognitive""","""Humanistic""","""Behavioral""","""Psychoanalytic""",C,"""Behaviorism focuses only on observable behavior."""
Psychology,Chapter 1,medium,"""Which aspect makes psychology a science?""","""Use of common sense""","""Use of philosophy only""","""Use of scientific methods""","""Focus on behavior only""",C,"""Psychology becomes scientific by using systematic and empirical methods."""
Psychology,Chapter 1,medium,"""Which of the following best defines behavior?""","""Only observable actions""","""Only mental activities""","""Overt and covert actions""","""Both A and C""",C,"""Behavior includes both observable actions and covert mental processes."""
Psychology,Chapter 1,medium,"""Which psychologist expanded Wundt's ideas into structuralism?""","""William James""","""Edward Titchener""","""John Watson""","""Sigmund Freud""",B,"""Titchener developed structuralism from Wundt's ideas."""
Psychology,Chapter 1,medium,"""Why did functionalism emerge?""","""To study unconscious mind""","""To study structure of mind only""","""To study purpose of mental processes""","""To reject science""",C,"""Functionalism focused on the function of mental processes."""
Psychology,Chapter 1,medium,"""Which school argued that psychology should avoid consciousness?""","""Structuralism""","""Functionalism""","""Behaviorism""","""Psychoanalysis""",C,"""Behaviorists rejected consciousness as unscientific."""
Psychology,Chapter 1,medium,"""What made behaviorism popular?""","""Focus on animals""","""Focus on measurable behavior""","""Focus on emotions""","""Focus on introspection""",B,"""Observable and measurable behavior made it scientific."""
Psychology,Chapter 1,medium,"""Which school viewed learning as passive response to environment?""","""Humanistic""","""Cognitive""","""Behavioral""","""Gestalt""",C,"""Behaviorism viewed learners as reactive."""
Psychology,Chapter 1,medium,"""Why was introspection criticized?""","""It was too objective""","""It was unreliable and subjective""","""It ignored behavior""","""It studied animals""",B,"""Introspection lacked objectivity and reliability."""
Psychology,Chapter 1,medium,"""Which perspective emphasizes free will?""","""Behavioral""","""Psychoanalytic""","""Humanistic""","""Biological""",C,"""Humanistic psychology stresses free will."""
Psychology,Chapter 1,medium,"""Which perspective compares human behavior to a 'black box'?""","""Cognitive""","""Behavioral""","""Psychodynamic""","""Humanistic""",B,"""Behaviorists focus on input and output only."""
Psychology,Chapter 1,medium,"""Which perspective explains behavior using brain chemistry?""","""Humanistic""","""Biological""","""Behavioral""","""Sociocultural""",B,"""Biological perspective links behavior to physiology."""
Psychology,Chapter 1,medium,"""Which perspective stresses culture and social norms?""","""Biological""","""Cognitive""","""Sociocultural""","""Psychoanalytic""",C,"""Behavior is shaped by social and cultural context."""
Psychology,Chapter 1,medium,"""Which branch studies psychological disorders?""","""Educational""","""Social""","""Clinical""","""Industrial""",C,"""Clinical psychology deals with diagnosis and treatment."""
Psychology,Chapter 1,medium,"""Which research method studies behavior in natural settings?""","""Case study""","""Survey""","""Naturalistic observation""","""Experiment""",C,"""It observes behavior without manipulation."""
Psychology,Chapter 1,medium,"""Which research method cannot establish cause-effect?""","""Experimental""","""Descriptive""","""Correlational""","""Clinical""",C,"""Correlation shows relationship but not causation."""
Psychology,Chapter 1,medium,"""Which variable is manipulated in an experiment?""","""Dependent variable""","""Control variable""","""Independent variable""","""Random variable""",C,"""Independent variable is manipulated by researcher."""
Psychology,Chapter 1,medium,"""Why is random assignment important?""","""To ensure bias""","""To increase control""","""To reduce participant differences""","""To change variables""",C,"""Random assignment reduces bias."""
Psychology,Chapter 2,medium,"""Why are sensation and perception inseparable?""","""They occur separately""","""Sensation always stops first""","""Perception depends on sensation""","""Perception replaces sensation""",C,"""Perception cannot occur without sensation."""
