subject,chapter,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation
"Logic","Chapter 6","hard","Case: 'All cats are mammals; all mammals are animals.' Can we infer all cats are animals?","Yes","No","Only if verified","Cannot say","A","By transitive reasoning, all cats are animals."
"Logic","Chapter 6","hard","Trick: 'Some students are not athletes; all athletes are disciplined.' Can we infer anything about students' discipline?","Some students are disciplined","All students are disciplined","No valid inference","Some students are not disciplined","C","No direct inference can be drawn from the premises."
"Logic","Chapter 6","hard","Case: 'No dogs are cats; some pets are dogs.' What can be inferred about pets and cats?","Some pets are not cats","All pets are cats","No valid inference","All pets are dogs","C","Premises do not provide enough information for direct inference."
"Logic","Chapter 6","hard","Trick: 'All A are B; Some B are not C.' Immediate inference?","Some A are not C","No valid inference","All B are C","Some A are C","B","No valid immediate inference can be drawn from these premises."
"Logic","Chapter 6","hard","Case: 'All philosophers are thinkers; some thinkers are not scientists.' What can we infer about philosophers and scientists?","All philosophers are scientists","Some philosophers are scientists","No valid inference","Some philosophers are not scientists","C","Premises are insufficient for a direct inference about philosophers and scientists."
"Logic","Chapter 6","hard","Trick: 'All birds are animals; some animals are not birds.' Which is true?","All animals are birds","Some animals are not birds","All birds are not animals","No valid inference","B","Some animals being non-birds is directly stated."
"Logic","Chapter 6","hard","Case: 'Some A are B; no B are C.' Can we conclude about A and C?","Some A are C","No A are C","No valid inference","All A are C","C","No immediate inference about A and C is valid."
"Logic","Chapter 6","hard","Trick: 'All philosophers are humans; no humans are immortal.' Inference about philosophers' immortality?","All philosophers are immortal","Some philosophers are immortal","No philosophers are immortal","No valid inference","C","If no humans are immortal and philosophers are humans, then no philosophers are immortal."
"Logic","Chapter 6","hard","Case: 'Some students are athletes; all athletes are disciplined.' Inference about students?","Some students are disciplined","All students are disciplined","No valid inference","Some students are not disciplined","C","No valid inference about students can be made from these premises."
"Logic","Chapter 6","hard","Trick: 'All A are B; All B are C; therefore, all A are C.' Is this valid?","Yes","No","Only if verified","Cannot say","A","This is a valid syllogistic inference (transitive property)."
"Logic","Chapter 6","hard","Case: 'No cats are dogs; some pets are cats.' Inference about pets and dogs?","Some pets are not dogs","All pets are dogs","No valid inference","All pets are cats","C","Premises alone do not allow a direct inference about pets and dogs."
"Logic","Chapter 6","hard","Trick: 'All humans are mammals; some mammals are not humans.' Which is correct?","All mammals are humans","Some mammals are not humans","No humans are mammals","No valid inference","B","Premise explicitly states some mammals are not humans."
"Logic","Chapter 6","hard","Case: 'Some A are B; some B are C.' Can we infer any relation between A and C?","Some A are C","No valid inference","All A are C","Some A are not C","B","No direct inference can be drawn between A and C."
